Age,Gender,Watched emotional movie in last 12 months,Movie/Book that affected you most recently,How many times watched,When watched most recently,The storytelling in this movie was emotionally powerful.,The story made me feel strong emotions.,The emotional moments felt genuine and realistic.,The characters' emotional experiences were clearly expressed.,The story focused strongly on characters' feelings and relationships.,I feel attached to the characters in this movie.,I still think about this movie or its characters after watching it.,I would like to watch this movie again in the future.,I would recommend this movie to others.,This movie has a special place in my memory compared to other movies.,Emotional Storytelling Score,Audience Attachment Score
24 or above,Male,Yes,Brokeback Mountain,2–3 times,More than 6 months ago,4,3,1,1,1,1,2,1,2,1,2.0,1.4
21–23,Female,Yes,Life is Beautiful,2–3 times,1–6 months ago,1,1,1,1,1,1,1,1,2,3,1.0,1.6
24 or above,Female,Yes,Son of Saul,2–3 times,Within last 1 month,4,4,5,3,4,3,3,3,5,4,4.0,3.6
21–23,Male,Yes,Hachi A Dog's Tale,1 time,Within last 1 month,2,2,3,3,3,1,2,2,3,2,2.6,2.0
18–20,Male,Yes,Where the Crawdads Sing,2–3 times,Within last 1 month,2,2,1,1,3,1,1,1,1,1,1.8,1.0
18–20,Female,Yes,Inception,1 time,Within last 1 month,4,3,5,4,4,3,3,3,3,5,4.0,3.4
24 or above,Male,Yes,Belfast,1 time,More than 6 months ago,5,5,4,5,5,4,3,4,4,5,4.8,4.0
24 or above,Female,Yes,Away from Her,2–3 times,Within last 1 month,4,4,5,2,2,3,4,3,3,3,3.4,3.2
Under 18,Male,Yes,The Little Mermaid,2–3 times,Within last 1 month,5,5,5,3,4,5,4,4,4,3,4.4,4.0
24 or above,Female,Yes,The Barbarian Invasions,1 time,Within last 1 month,4,2,3,2,1,4,2,3,4,3,2.4,3.2
21–23,Male,Yes,Short Term 12,1 time,1–6 months ago,4,5,5,4,5,5,4,4,5,3,4.6,4.2
Under 18,Male,Yes,Cinderella,2–3 times,Within last 1 month,1,4,3,3,3,4,4,2,3,1,2.8,2.8
24 or above,Male,Yes,Million Dollar Baby,1 time,1–6 months ago,1,1,1,1,1,1,1,2,1,2,1.0,1.4
21–23,Female,Yes,Never Let Me Go,1 time,More than 6 months ago,4,4,4,5,4,5,4,3,4,3,4.2,3.8
24 or above,Female,Yes,The Green Mile,1 time,Within last 1 month,5,3,4,5,4,3,3,5,4,2,4.2,3.4
18–20,Male,Yes,The Perks of Being a Wallflower,More than 3 times,More than 6 months ago,5,3,3,5,4,5,4,5,1,3,4.0,3.6
24 or above,Female,Yes,Saving Private Ryan,1 time,More than 6 months ago,4,5,5,4,3,3,4,5,4,4,4.2,4.0
Under 18,Prefer not to say,Yes,Brother Bear,1 time,Within last 1 month,2,4,3,3,4,3,3,3,3,3,3.2,3.0
24 or above,Female,Yes,The Reader,2–3 times,1–6 months ago,4,4,4,2,5,4,5,4,3,3,3.8,3.8
21–23,Female,Yes,Little Women,1 time,More than 6 months ago,2,2,3,2,4,2,2,2,2,4,2.6,2.4
21–23,Male,Yes,Still Walking,2–3 times,Within last 1 month,1,2,1,1,1,1,2,1,2,1,1.2,1.4
21–23,Female,Yes,A Silent Voice,1 time,1–6 months ago,3,4,4,3,5,3,4,2,4,3,3.8,3.2
21–23,Male,Yes,Shoplifters,2–3 times,More than 6 months ago,5,3,5,5,5,5,5,5,5,5,4.6,5.0
24 or above,Female,Yes,The Notebook,2–3 times,More than 6 months ago,5,5,4,4,3,4,5,5,5,4,4.2,4.6
Under 18,Male,Yes,Matilda,More than 3 times,More than 6 months ago,5,4,3,4,4,4,5,5,4,3,4.0,4.2
18–20,Male,Yes,Me Before You,2–3 times,More than 6 months ago,3,5,4,4,5,4,3,3,5,4,4.2,3.8
18–20,Male,Yes,Bring It On,2–3 times,1–6 months ago,5,5,4,3,4,3,4,3,3,4,4.2,3.4
21–23,Female,Yes,Parasite,2–3 times,More than 6 months ago,4,4,2,4,3,4,3,3,3,3,3.4,3.2
21–23,Female,Yes,Before Sunrise,2–3 times,More than 6 months ago,4,4,4,4,5,4,5,4,4,3,4.2,4.0
21–23,Female,Yes,Brokeback Mountain,1 time,1–6 months ago,3,5,4,4,5,3,4,2,4,4,4.2,3.4
24 or above,Male,Yes,Forrest Gump,1 time,1–6 months ago,4,3,3,2,5,3,2,4,4,3,3.4,3.2
21–23,Female,Yes,The Imitation Game,2–3 times,More than 6 months ago,4,4,4,2,4,3,4,3,4,2,3.6,3.2
Under 18,Female,Yes,The Cat Returns,1 time,1–6 months ago,3,4,3,2,4,3,3,4,3,5,3.2,3.6
24 or above,Female,Yes,American Beauty,2–3 times,1–6 months ago,3,2,2,2,1,1,2,1,3,2,2.0,1.8
18–20,Female,Yes,10 Things I Hate About You,2–3 times,Within last 1 month,3,4,4,5,5,4,5,4,5,4,4.2,4.4
18–20,Female,Yes,Eighth Grade,2–3 times,More than 6 months ago,5,3,5,4,5,4,4,5,4,5,4.4,4.4
21–23,Female,Yes,Shoplifters,More than 3 times,1–6 months ago,3,3,4,3,4,4,3,2,4,3,3.4,3.2
21–23,Male,Yes,Before Midnight,More than 3 times,Within last 1 month,4,5,4,5,5,5,3,5,4,4,4.6,4.2
18–20,Prefer not to say,Yes,The Hate U Give,1 time,Within last 1 month,4,5,3,5,4,4,3,3,3,3,4.2,3.2
21–23,Male,Yes,Inception,2–3 times,Within last 1 month,5,4,2,4,3,3,3,4,5,4,3.6,3.8
21–23,Female,Yes,The Pursuit of Happyness,2–3 times,More than 6 months ago,3,2,1,2,2,2,1,2,3,1,2.0,1.8
18–20,Female,Yes,P.S. I Love You,1 time,Within last 1 month,3,3,2,2,2,1,2,3,1,2,2.4,1.8
21–23,Female,Yes,Schindler's List,2–3 times,Within last 1 month,5,4,5,5,5,5,5,4,5,4,4.8,4.6
21–23,Male,Yes,Drive My Car,2–3 times,1–6 months ago,3,2,1,3,2,2,1,1,2,1,2.2,1.4
18–20,Female,Yes,Five Feet Apart,2–3 times,1–6 months ago,4,4,5,5,4,4,4,4,5,3,4.4,4.0
24 or above,Prefer not to say,Yes,Marriage Story,2–3 times,1–6 months ago,5,3,2,4,5,3,3,2,4,2,3.8,2.8
21–23,Female,Yes,Marriage Story,2–3 times,Within last 1 month,4,4,3,5,4,4,5,5,3,5,4.0,4.4
18–20,Prefer not to say,Yes,Ferris Bueller,2–3 times,1–6 months ago,2,3,1,3,4,1,3,3,3,2,2.6,2.4
18–20,Male,Yes,Superbad,1 time,More than 6 months ago,3,2,3,4,3,2,4,4,2,2,3.0,2.8
Under 18,Female,Yes,A Silent Voice,2–3 times,Within last 1 month,4,3,4,3,4,4,4,3,4,2,3.6,3.4
18–20,Prefer not to say,Yes,Marriage Story,1 time,Within last 1 month,4,2,4,4,3,4,2,4,4,3,3.4,3.4
Under 18,Female,Yes,Only Yesterday,2–3 times,Within last 1 month,4,4,3,3,3,4,4,4,3,3,3.4,3.6
21–23,Female,Yes,The Theory of Everything,2–3 times,1–6 months ago,2,1,1,3,3,1,2,3,3,2,2.0,2.2
24 or above,Female,Yes,Scenes from a Marriage,2–3 times,1–6 months ago,4,5,4,5,4,4,3,5,5,4,4.4,4.2
24 or above,Female,Yes,Kramer vs. Kramer,More than 3 times,More than 6 months ago,3,4,4,3,5,2,4,4,5,3,3.8,3.6
Under 18,Female,Yes,Cinderella,More than 3 times,1–6 months ago,3,3,4,5,4,3,2,4,2,3,3.8,2.8
Under 18,Male,Yes,How to Train Your Dragon,2–3 times,Within last 1 month,3,2,2,2,2,2,3,3,2,2,2.2,2.4
21–23,Male,Yes,Spotlight,1 time,Within last 1 month,3,2,3,3,3,2,3,2,3,3,2.8,2.6
24 or above,Prefer not to say,Yes,Glory,1 time,1–6 months ago,2,2,2,1,2,1,1,3,1,2,1.8,1.6
21–23,Male,Yes,The Farewell,1 time,More than 6 months ago,5,4,4,3,3,4,4,4,2,4,3.8,3.6
24 or above,Female,Yes,Out of Africa,1 time,More than 6 months ago,2,4,4,3,4,1,3,4,5,3,3.4,3.2
24 or above,Female,Yes,Saving Private Ryan,2–3 times,Within last 1 month,2,3,4,4,3,3,4,3,1,2,3.2,2.6
24 or above,Male,Yes,A Grief Observed,1 time,1–6 months ago,3,3,4,3,3,3,5,4,4,4,3.2,4.0
18–20,Female,Yes,Lady Bird,1 time,Within last 1 month,3,4,2,4,3,4,3,3,2,4,3.2,3.2
24 or above,Female,Yes,Ida,1 time,Within last 1 month,3,2,3,3,3,3,1,2,3,1,2.8,2.0
Under 18,Female,Yes,Encanto,More than 3 times,1–6 months ago,1,2,2,2,1,2,1,2,2,1,1.6,1.6
21–23,Male,Yes,Drive My Car,2–3 times,Within last 1 month,4,2,2,2,2,1,1,1,2,1,2.4,1.2
Under 18,Male,Yes,Lilo and Stitch,More than 3 times,More than 6 months ago,4,3,4,3,4,3,3,3,3,3,3.6,3.0
24 or above,Female,Yes,Never Let Me Go,1 time,1–6 months ago,5,3,4,4,5,4,5,3,4,4,4.2,4.0
18–20,Female,Yes,The Last Song,1 time,Within last 1 month,2,5,5,4,4,3,3,3,5,5,4.0,3.8
21–23,Male,Yes,The Pianist,2–3 times,1–6 months ago,2,3,4,3,2,2,1,2,3,1,2.8,1.8
18–20,Female,Yes,Five Feet Apart,1 time,More than 6 months ago,3,3,3,3,4,2,2,4,3,3,3.2,2.8
Under 18,Male,Yes,Paddington 2,2–3 times,More than 6 months ago,3,3,3,4,4,3,2,3,3,3,3.4,2.8
24 or above,Male,Yes,When Breath Becomes Air,1 time,1–6 months ago,3,4,4,3,3,5,3,5,2,1,3.4,3.2
24 or above,Female,Yes,The Boy in the Striped Pyjamas,More than 3 times,Within last 1 month,3,3,3,4,4,3,3,3,3,3,3.4,3.0
18–20,Male,Yes,Legally Blonde,More than 3 times,Within last 1 month,5,5,5,5,5,4,4,5,3,4,5.0,4.0
21–23,Female,Yes,Interstellar,1 time,More than 6 months ago,4,4,5,5,5,2,4,1,4,4,4.6,3.0
21–23,Male,Yes,Interstellar,1 time,1–6 months ago,4,5,4,3,4,3,3,2,3,4,4.0,3.0
21–23,Male,Yes,A Ghost Story,1 time,1–6 months ago,5,4,5,5,3,4,4,4,5,4,4.4,4.2
21–23,Female,Yes,Marriage Story,1 time,1–6 months ago,4,4,2,2,4,4,3,3,3,3,3.2,3.2
24 or above,Female,Yes,Capernaum,1 time,1–6 months ago,4,3,4,5,4,4,5,4,4,5,4.0,4.4
21–23,Female,Yes,Aftersun,1 time,More than 6 months ago,2,2,2,1,3,1,1,2,1,1,2.0,1.2
18–20,Female,Yes,The Perks of Being a Wallflower,2–3 times,1–6 months ago,3,4,5,4,4,3,4,2,3,4,4.0,3.2
Under 18,Male,Yes,The Tale of Princess Kaguya,1 time,Within last 1 month,5,5,4,5,5,4,4,5,4,4,4.8,4.2
21–23,Prefer not to say,Yes,The Florida Project,More than 3 times,1–6 months ago,4,5,3,4,5,3,4,4,4,5,4.2,4.0
21–23,Female,Yes,Incendies,2–3 times,Within last 1 month,5,5,4,5,4,5,5,4,4,3,4.6,4.2
21–23,Female,Yes,Spotlight,1 time,1–6 months ago,1,1,2,1,1,2,2,3,1,2,1.2,2.0
24 or above,Male,Yes,The English Patient,1 time,More than 6 months ago,3,4,3,4,4,4,4,4,3,3,3.6,3.6
18–20,Female,Yes,Parasite,1 time,1–6 months ago,5,4,4,5,3,4,3,4,4,3,4.2,3.6
21–23,Male,Yes,Marriage Story,2–3 times,Within last 1 month,4,2,3,4,3,1,2,4,2,2,3.2,2.2
Under 18,Female,Yes,Your Name,2–3 times,Within last 1 month,5,5,4,4,5,4,3,4,4,5,4.6,4.0
21–23,Female,Yes,Shoplifters,2–3 times,1–6 months ago,5,4,5,4,4,4,5,4,4,5,4.4,4.4
24 or above,Male,Yes,Ghost,1 time,More than 6 months ago,5,5,5,3,5,3,4,4,2,2,4.6,3.0
24 or above,Male,Yes,The Joy Luck Club,1 time,More than 6 months ago,4,4,3,4,5,4,3,2,3,3,4.0,3.0
18–20,Female,Yes,P.S. I Love You,1 time,Within last 1 month,4,3,2,4,2,3,3,4,4,4,3.0,3.6
21–23,Male,Yes,Moonlight,More than 3 times,1–6 months ago,4,5,4,4,4,2,4,2,3,5,4.2,3.2
24 or above,Female,Yes,Saving Private Ryan,2–3 times,More than 6 months ago,4,5,3,4,4,3,4,3,4,5,4.0,3.8
21–23,Male,Yes,Your Name,1 time,1–6 months ago,5,5,5,3,5,4,3,5,4,4,4.6,4.0
18–20,Prefer not to say,Yes,Her,More than 3 times,More than 6 months ago,4,5,5,4,5,3,4,5,3,3,4.6,3.6
21–23,Female,Yes,Before Sunrise,2–3 times,More than 6 months ago,2,3,4,4,5,4,4,4,3,4,3.6,3.8
21–23,Female,Yes,There Will Be Blood,More than 3 times,Within last 1 month,4,4,5,5,5,5,4,4,4,4,4.6,4.2
24 or above,Male,Yes,Incendies,1 time,Within last 1 month,2,2,3,2,2,1,2,2,2,2,2.2,1.8
24 or above,Prefer not to say,Yes,The Hours,1 time,1–6 months ago,3,3,3,3,2,4,1,3,1,3,2.8,2.4
18–20,Female,Yes,The Hate U Give,2–3 times,More than 6 months ago,4,5,4,4,4,5,5,5,5,5,4.2,5.0
24 or above,Male,Yes,The Color Purple,More than 3 times,More than 6 months ago,4,3,3,4,4,4,5,2,4,3,3.6,3.6
24 or above,Male,Yes,Out of Africa,1 time,Within last 1 month,4,2,4,2,2,3,2,3,2,1,2.8,2.2
21–23,Male,Yes,Boyhood,More than 3 times,Within last 1 month,3,2,4,3,3,2,3,4,3,2,3.0,2.8
Under 18,Female,Yes,Matilda,2–3 times,1–6 months ago,4,3,3,3,5,5,3,5,3,3,3.6,3.8
21–23,Male,Yes,Before Sunset,More than 3 times,Within last 1 month,3,1,2,3,1,4,2,2,2,3,2.0,2.6
Under 18,Male,Yes,Aladdin,More than 3 times,1–6 months ago,2,2,1,1,1,1,1,1,1,2,1.4,1.2
21–23,Male,Yes,Pride and Prejudice,More than 3 times,Within last 1 month,4,3,4,3,5,4,4,4,4,3,3.8,3.8
18–20,Female,Yes,P.S. I Love You,1 time,1–6 months ago,5,3,3,3,4,1,3,3,2,3,3.6,2.4
21–23,Male,Yes,Before Midnight,1 time,More than 6 months ago,2,4,3,4,3,4,2,4,3,3,3.2,3.2
21–23,Prefer not to say,Yes,A Ghost Story,More than 3 times,Within last 1 month,5,5,4,4,4,4,5,5,5,5,4.4,4.8
21–23,Female,Yes,Bohemian Rhapsody,1 time,Within last 1 month,1,1,2,2,2,1,2,2,2,3,1.6,2.0
18–20,Prefer not to say,Yes,Marriage Story,2–3 times,Within last 1 month,5,4,5,4,4,5,5,5,5,5,4.4,5.0
24 or above,Female,Yes,Affliction,1 time,More than 6 months ago,2,3,1,2,3,2,2,2,4,1,2.2,2.2
18–20,Female,Yes,Inception,1 time,Within last 1 month,4,4,4,5,5,3,2,4,4,4,4.4,3.4
18–20,Male,Yes,The Hate U Give,More than 3 times,More than 6 months ago,3,5,4,5,5,4,3,4,5,4,4.4,4.0
24 or above,Male,Yes,Pride and Prejudice,1 time,1–6 months ago,5,5,4,3,3,2,2,3,4,2,4.0,2.6
21–23,Female,Yes,About Time,2–3 times,1–6 months ago,2,2,2,2,2,2,1,2,2,3,2.0,2.0
24 or above,Female,Yes,All Quiet on the Western Front,2–3 times,Within last 1 month,2,4,2,3,2,2,2,3,2,3,2.6,2.4
24 or above,Female,Yes,Saving Private Ryan,2–3 times,Within last 1 month,5,3,4,3,4,3,4,3,4,3,3.8,3.4
21–23,Female,Yes,Nightcrawler,More than 3 times,Within last 1 month,4,5,4,4,4,4,3,3,3,2,4.2,3.0
24 or above,Female,Yes,Glory,2–3 times,1–6 months ago,3,3,3,3,4,3,3,3,4,3,3.2,3.2
21–23,Male,Yes,Brooklyn,2–3 times,More than 6 months ago,4,5,5,5,4,4,3,3,3,4,4.6,3.4
18–20,Female,Yes,Dead Poets Society,2–3 times,1–6 months ago,5,5,4,4,4,3,4,5,5,5,4.4,4.4
21–23,Male,Yes,Nightcrawler,1 time,Within last 1 month,3,4,3,4,1,5,3,4,3,4,3.0,3.8
Under 18,Male,Yes,Matilda,1 time,Within last 1 month,3,3,3,3,4,3,3,1,2,3,3.2,2.4
18–20,Female,Yes,Love Rosie,2–3 times,More than 6 months ago,5,3,5,2,3,3,3,5,3,4,3.6,3.6
21–23,Female,Yes,12 Years a Slave,2–3 times,Within last 1 month,1,1,1,1,1,2,2,2,2,1,1.0,1.8
21–23,Prefer not to say,Yes,The Pursuit of Happyness,2–3 times,1–6 months ago,5,4,5,3,5,3,2,4,4,4,4.4,3.4
21–23,Prefer not to say,Yes,Marriage Story,More than 3 times,1–6 months ago,2,3,4,2,2,3,3,4,3,4,2.6,3.4
21–23,Male,Yes,Nightcrawler,2–3 times,Within last 1 month,1,2,1,3,2,1,2,1,1,2,1.8,1.4
18–20,Female,Yes,After We Collided,1 time,Within last 1 month,4,4,4,5,4,5,4,4,4,5,4.2,4.4
21–23,Female,Yes,Capernaum,2–3 times,More than 6 months ago,5,4,4,4,4,4,3,4,4,4,4.2,3.8
Under 18,Female,Yes,Cinderella,More than 3 times,Within last 1 month,4,3,5,4,5,4,5,4,3,2,4.2,3.6
24 or above,Male,Yes,A Grief Observed,1 time,More than 6 months ago,3,1,3,2,2,1,2,3,1,3,2.2,2.0
18–20,Female,Yes,Ferris Bueller,1 time,1–6 months ago,4,4,4,4,4,5,5,3,4,4,4.0,4.2
18–20,Male,Yes,Wonder,2–3 times,Within last 1 month,5,5,5,4,4,4,4,5,4,4,4.6,4.2
18–20,Prefer not to say,Yes,Legally Blonde,1 time,1–6 months ago,3,3,5,2,3,3,5,3,4,5,3.2,4.0
24 or above,Male,Yes,The Year of Magical Thinking,1 time,1–6 months ago,3,3,2,3,2,2,3,4,4,3,2.6,3.2
18–20,Male,Yes,Good Will Hunting,2–3 times,More than 6 months ago,4,5,3,3,2,3,4,3,2,3,3.4,3.0
21–23,Male,Yes,The Pianist,2–3 times,More than 6 months ago,3,4,3,4,3,3,4,2,4,4,3.4,3.4
21–23,Male,Yes,Spirited Away,More than 3 times,Within last 1 month,1,3,2,3,2,1,2,3,3,1,2.2,2.0
24 or above,Female,Yes,The Sweet Hereafter,2–3 times,1–6 months ago,3,4,3,3,4,4,3,5,3,4,3.4,3.8
21–23,Female,Yes,Winter's Bone,2–3 times,Within last 1 month,4,4,5,4,3,5,4,5,5,4,4.0,4.6
Under 18,Female,Yes,Spirited Away,1 time,1–6 months ago,4,5,5,4,5,4,3,4,4,4,4.6,3.8
21–23,Male,Yes,The Florida Project,1 time,Within last 1 month,4,2,2,2,4,2,3,2,2,2,2.8,2.2
24 or above,Male,Yes,Sophie's Choice,1 time,Within last 1 month,3,2,3,4,4,4,2,1,2,2,3.2,2.2
21–23,Prefer not to say,Yes,Nomadland,2–3 times,More than 6 months ago,5,4,5,5,3,5,4,5,3,5,4.4,4.4
24 or above,Female,Yes,The Barbarian Invasions,1 time,Within last 1 month,5,5,4,4,3,2,4,3,2,4,4.2,3.0
24 or above,Male,Yes,The Sweet Hereafter,2–3 times,Within last 1 month,5,5,4,4,4,4,5,3,4,5,4.4,4.2
18–20,Male,Yes,Spider-Man Into the Spider-Verse,2–3 times,Within last 1 month,4,4,3,4,3,4,4,4,3,4,3.6,3.8
21–23,Female,Yes,Little Women,1 time,1–6 months ago,4,3,5,5,4,4,3,3,5,2,4.2,3.4
21–23,Male,Yes,Before Midnight,1 time,More than 6 months ago,5,5,5,3,4,2,3,4,3,3,4.4,3.0
24 or above,Female,Yes,Braveheart,More than 3 times,1–6 months ago,5,2,5,4,5,5,4,4,4,5,4.2,4.4
24 or above,Male,Yes,Schindler's List,More than 3 times,More than 6 months ago,3,1,1,2,1,2,2,3,2,2,1.6,2.2
18–20,Female,Yes,The Hate U Give,1 time,Within last 1 month,2,4,3,4,4,4,2,4,3,4,3.4,3.4
24 or above,Female,Yes,Eleanor Oliphant is Completely Fine,1 time,Within last 1 month,5,4,5,5,5,4,4,3,3,5,4.8,3.8
18–20,Female,Yes,Bring It On,1 time,Within last 1 month,4,2,4,4,3,3,4,3,2,5,3.4,3.4
24 or above,Male,Yes,Fanny and Alexander,2–3 times,1–6 months ago,5,5,5,5,5,5,4,5,4,5,5.0,4.6
21–23,Prefer not to say,Yes,Rocketman,1 time,Within last 1 month,5,4,5,5,3,4,4,4,4,5,4.4,4.2
21–23,Male,Yes,Waves,2–3 times,More than 6 months ago,4,3,5,5,3,3,4,4,4,2,4.0,3.4
Under 18,Female,Yes,Howl's Moving Castle,1 time,Within last 1 month,5,3,4,4,4,4,4,4,5,4,4.0,4.2
Under 18,Male,Yes,Coco,2–3 times,Within last 1 month,3,3,3,2,3,1,3,2,2,3,2.8,2.2
Under 18,Male,Yes,Mirai,1 time,Within last 1 month,5,3,4,5,5,3,5,5,4,3,4.4,4.0
24 or above,Male,Yes,The Lives of Others,More than 3 times,More than 6 months ago,2,4,3,4,4,5,3,5,3,4,3.4,4.0
24 or above,Female,Yes,The Notebook,1 time,More than 6 months ago,4,4,4,4,2,4,5,3,4,5,3.6,4.2
Under 18,Female,Yes,The Lion King,2–3 times,Within last 1 month,5,2,5,4,3,2,2,5,4,3,3.8,3.2
24 or above,Female,Yes,The Bicycle Thief,1 time,More than 6 months ago,5,5,3,5,5,5,4,4,4,5,4.6,4.4
24 or above,Female,Yes,The Joy Luck Club,1 time,Within last 1 month,3,5,4,4,4,3,3,4,3,3,4.0,3.2
21–23,Female,Yes,The Theory of Everything,2–3 times,Within last 1 month,4,5,4,3,4,3,4,4,3,3,4.0,3.4
24 or above,Male,Yes,The Shawshank Redemption,More than 3 times,1–6 months ago,5,5,5,4,4,4,5,5,5,4,4.6,4.6
18–20,Male,Yes,Clueless,1 time,1–6 months ago,2,1,1,2,2,1,1,3,1,3,1.6,1.8
24 or above,Female,Yes,One Flew Over the Cuckoo's Nest,1 time,Within last 1 month,3,3,5,3,5,3,3,4,3,4,3.8,3.4
24 or above,Male,Yes,The Joy Luck Club,2–3 times,Within last 1 month,3,3,4,3,2,5,4,3,4,4,3.0,4.0
24 or above,Male,Yes,Forrest Gump,1 time,Within last 1 month,2,3,3,2,1,3,3,4,3,4,2.2,3.4
24 or above,Prefer not to say,Yes,The Book Thief,1 time,1–6 months ago,5,5,5,5,5,5,5,4,5,5,5.0,4.8
24 or above,Male,Yes,Ghost,1 time,More than 6 months ago,2,1,2,1,3,2,2,1,1,2,1.8,1.6
21–23,Male,Yes,The Social Network,1 time,Within last 1 month,3,5,4,4,4,4,3,5,4,3,4.0,3.8
21–23,Female,Yes,The Florida Project,More than 3 times,1–6 months ago,3,3,3,3,2,5,4,4,3,4,2.8,4.0
18–20,Prefer not to say,Yes,Avengers Infinity War,2–3 times,Within last 1 month,5,5,5,5,5,5,4,5,5,5,5.0,4.8
18–20,Male,Yes,Interstellar,2–3 times,More than 6 months ago,4,3,3,3,4,3,5,3,5,4,3.4,4.0
18–20,Female,Yes,Little Women,1 time,More than 6 months ago,5,5,4,5,5,3,4,3,3,5,4.8,3.6
24 or above,Male,Yes,The Pianist,1 time,1–6 months ago,5,5,4,5,4,4,4,3,4,3,4.6,3.6
Under 18,Female,Yes,Cinderella,More than 3 times,Within last 1 month,5,3,5,5,5,5,4,5,5,4,4.6,4.6
21–23,Male,Yes,Schindler's List,1 time,1–6 months ago,4,5,3,3,3,3,5,4,3,4,3.6,3.8
21–23,Female,Yes,Call Me by Your Name,1 time,Within last 1 month,5,5,4,4,5,4,3,4,5,4,4.6,4.0
Under 18,Female,Yes,WALL-E,2–3 times,Within last 1 month,3,1,1,1,2,2,1,1,1,2,1.6,1.4
24 or above,Female,Yes,Capernaum,More than 3 times,More than 6 months ago,5,3,3,3,5,5,3,4,5,5,3.8,4.4
18–20,Male,Yes,Love Simon,1 time,More than 6 months ago,4,3,3,5,4,5,5,3,3,3,3.8,3.8
21–23,Male,Yes,In the Mood for Love,More than 3 times,More than 6 months ago,3,3,1,1,1,2,2,2,1,2,1.8,1.8
24 or above,Female,Yes,Cast Away,2–3 times,1–6 months ago,4,4,4,4,5,5,4,4,5,4,4.2,4.4
24 or above,Female,Yes,Beaches,2–3 times,1–6 months ago,1,4,4,1,5,5,4,4,4,5,3.0,4.4
21–23,Male,Yes,Winter's Bone,More than 3 times,1–6 months ago,5,4,4,5,5,5,3,5,3,3,4.6,3.8
Under 18,Female,Yes,Paddington 2,More than 3 times,1–6 months ago,4,5,4,4,4,3,3,3,3,4,4.2,3.2
21–23,Male,Yes,Atonement,More than 3 times,Within last 1 month,4,4,4,5,5,4,3,4,4,3,4.4,3.6
21–23,Female,Yes,The Shawshank Redemption,2–3 times,More than 6 months ago,3,4,2,3,4,2,4,3,2,2,3.2,2.6
24 or above,Female,Yes,The Hours,1 time,More than 6 months ago,5,5,3,4,4,5,4,3,3,4,4.2,3.8
18–20,Male,Yes,The Dark Knight,1 time,1–6 months ago,5,5,5,5,5,3,3,4,5,3,5.0,3.6
18–20,Female,Yes,Call Me by Your Name,2–3 times,1–6 months ago,3,2,3,3,2,2,3,3,2,4,2.6,2.8
18–20,Male,Yes,Joker,1 time,Within last 1 month,3,4,4,4,3,4,3,4,3,3,3.6,3.4
24 or above,Male,Yes,Steel Magnolias,1 time,More than 6 months ago,2,2,2,1,2,2,2,3,3,2,1.8,2.4
18–20,Female,Yes,Portrait of a Lady on Fire,2–3 times,1–6 months ago,4,2,3,3,3,2,2,3,3,3,3.0,2.6
21–23,Male,Yes,Her,2–3 times,More than 6 months ago,5,3,4,4,2,5,5,3,4,4,3.6,4.2
Under 18,Male,Yes,Coco,More than 3 times,1–6 months ago,3,4,3,3,1,2,1,2,1,1,2.8,1.4
18–20,Female,Yes,Little Women,2–3 times,Within last 1 month,3,4,4,4,5,4,3,4,3,3,4.0,3.4
18–20,Female,Yes,Titanic,More than 3 times,Within last 1 month,4,3,3,4,4,3,4,3,3,3,3.6,3.2
24 or above,Female,Yes,The Diving Bell and the Butterfly,2–3 times,1–6 months ago,4,5,5,4,3,4,4,3,4,4,4.2,3.8
18–20,Male,Yes,The Fault in Our Stars,1 time,More than 6 months ago,4,5,5,5,4,2,3,4,4,5,4.6,3.6
21–23,Female,Yes,No Country for Old Men,1 time,1–6 months ago,3,3,3,3,2,3,2,3,3,2,2.8,2.6
Under 18,Female,Yes,Toy Story 3,More than 3 times,1–6 months ago,4,3,2,4,4,2,3,3,2,3,3.4,2.6
24 or above,Female,Yes,Titanic,More than 3 times,1–6 months ago,1,2,1,1,1,1,1,1,2,1,1.2,1.2
18–20,Male,Yes,About Time,2–3 times,Within last 1 month,3,3,2,2,2,2,2,2,2,4,2.4,2.4
24 or above,Female,Yes,Kramer vs. Kramer,More than 3 times,Within last 1 month,4,3,5,3,3,3,4,2,5,3,3.6,3.4
21–23,Female,Yes,Forrest Gump,2–3 times,Within last 1 month,4,5,5,4,5,4,3,4,4,4,4.6,3.8
18–20,Female,Yes,Love Rosie,2–3 times,1–6 months ago,2,1,3,2,1,2,3,4,3,2,1.8,2.8
24 or above,Prefer not to say,Yes,Scenes from a Marriage,More than 3 times,Within last 1 month,2,4,4,4,1,3,3,4,3,2,3.0,3.0
18–20,Female,Yes,Mean Girls,1 time,More than 6 months ago,4,4,5,5,3,4,4,4,3,2,4.2,3.4
21–23,Female,Yes,Spirited Away,1 time,1–6 months ago,1,3,5,3,2,3,3,2,4,2,2.8,2.8
24 or above,Male,Yes,Wild Strawberries,2–3 times,More than 6 months ago,3,3,3,2,4,2,3,3,4,3,3.0,3.0
18–20,Male,Yes,Twilight,2–3 times,1–6 months ago,5,5,5,4,5,5,3,5,4,4,4.8,4.2
Under 18,Female,Yes,WALL-E,2–3 times,Within last 1 month,4,5,5,5,5,5,5,4,4,3,4.8,4.2
